pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:51:00.0, 64.78, 0, 38823
00000000:54:00.0, 66.11, 0, 38823
00000000:8D:00.0, 64.57, 0, 38823
00000000:92:00.0, 66.04, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 57.47, 0, 38823
00000000:15:00.0, 64.37, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 61.62, 0, 38823
00000000:92:00.0, 61.62, 0, 38823
00000000:D6:00.0, 63.49, 0, 38823
00000000:DA:00.0, 62.10, 0, 38823
00000000:0F:00.0, 64.50, 0, 38823
00000000:15:00.0, 56.75, 0, 38823
00000000:51:00.0, 57.25, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.40, 0, 38823
00000000:92:00.0, 59.94, 0, 38823
00000000:D6:00.0, 67.26, 0, 38823
00000000:DA:00.0, 60.41, 0, 38823
00000000:0F:00.0, 68.33, 0, 38823
00000000:15:00.0, 57.08, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.40, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 64.37, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 68.26, 0, 38823
00000000:15:00.0, 57.08, 0, 38823
00000000:51:00.0, 61.29, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.54, 0, 38823
00000000:D6:00.0, 61.69, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 66.58, 0, 38823
00000000:15:00.0, 56.69, 0, 38823
00000000:51:00.0, 64.78, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 63.03, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 69.47, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.40, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.49, 0, 38823
00000000:0F:00.0, 57.74, 0, 38823
00000000:15:00.0, 58.16, 0, 38823
00000000:51:00.0, 71.82, 0, 38823
00000000:54:00.0, 64.04, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.88, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 63.44, 0, 38823
00000000:51:00.0, 72.15, 0, 38823
00000000:54:00.0, 66.11, 0, 38823
00000000:8D:00.0, 61.02, 0, 38823
00000000:92:00.0, 62.50, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 62.16, 0, 38823
00000000:0F:00.0, 57.47, 0, 38823
00000000:15:00.0, 66.92, 0, 38823
00000000:51:00.0, 57.47, 0, 38823
00000000:54:00.0, 70.55, 0, 38823
00000000:8D:00.0, 68.33, 0, 38823
00000000:92:00.0, 66.92, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 62.37, 0, 38823
00000000:0F:00.0, 57.47, 0, 38823
00000000:15:00.0, 66.92, 0, 38823
00000000:51:00.0, 57.47, 0, 38823
00000000:54:00.0, 61.14, 0, 38823
00000000:8D:00.0, 73.29, 0, 38823
00000000:92:00.0, 70.48, 0, 38823
00000000:D6:00.0, 58.46, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 59.15, 0, 38823
00000000:15:00.0, 61.37, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 64.50, 0, 38823
00000000:92:00.0, 71.35, 0, 38823
00000000:D6:00.0, 64.04, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 63.71, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 65.98, 0, 38823
00000000:92:00.0, 71.35, 0, 38823
00000000:D6:00.0, 63.16, 0, 38823
